id_transaccion,id_cliente,fecha_transaccion,monto,tipo_transaccion,estado_transaccion,last_transaction_days
492,166,2022-05-20,4711.16,No identificado,Indeterminado,167
19,166,2021-12-04,3244.48,Transferencia,Completada,30
330,166,2021-11-04,2800.12,Depósito,Fallida,
142,167,2023-03-23,6939.55,Depósito,Fallida,307
459,167,2023-12-31,1684.63,Depósito,Indeterminado,157
341,167,2023-07-27,1382.46,Transferencia,Fallida,126
477,168,2023-07-11,7583.58,Retiro,Completada,566
428,168,2021-12-22,4677.21,Transferencia,Completada,
261,168,2023-12-31,-1,No identificado,Invalido,173
482,169,2023-06-19,5211.16,No identificado,Indeterminado,
112,170,2022-06-11,9574.4,Depósito,Indeterminado,169
164,170,2023-12-31,6464.54,Transferencia,Completada,0
178,170,2021-12-24,4260.39,Transferencia,Fallida,
347,170,2023-12-31,4211.18,Depósito,Invalido,568
485,171,2021-08-10,6974.81,Retiro,Completada,
485,172,2023-09-27,1455.86,Depósito,Completada,778
397,173,2022-01-01,8502.14,Retiro,Pendiente,223
250,173,2023-06-27,3132.94,Transferencia,Completada,542
108,173,2021-05-23,2016.16,Retiro,Indeterminado,
496,173,2023-11-28,384,No identificado,Pendiente,154
342,174,2023-08-01,7741.23,Depósito,Indeterminado,
42,175,2022-12-26,8385.28,No identificado,Pendiente,438
168,175,2021-10-14,6127.63,No identificado,Indeterminado,25
109,175,2021-09-19,4830.22,Transferencia,Pendiente,
275,176,2023-02-13,9845.78,No identificado,Fallida,336
360,176,2022-03-14,3998.7,No identificado,Pendiente,
47,177,2023-12-31,6431.05,Transferencia,Invalido,652
13,177,2022-03-19,3709.96,Depósito,Completada,92
64,177,2021-12-17,469.12,No identificado,Indeterminado,
416,178,2023-03-20,7968.14,Retiro,Completada,115
433,178,2022-08-19,6300.84,No identificado,Completada,
337,178,2022-11-25,4687.71,No identificado,Pendiente,98
237,178,2023-08-08,4434.79,Transferencia,Completada,141
115,178,2023-09-05,3656.29,Depósito,Invalido,28
35,179,2021-08-20,2931.02,Retiro,Completada,182
205,179,2023-02-25,1575.31,Transferencia,Indeterminado,554
346,179,2021-02-19,1271.14,No identificado,Completada,
482,180,2023-10-07,9031.75,Depósito,Indeterminado,408
426,180,2022-08-25,1886.23,Retiro,Completada,326
70,180,2021-10-03,31.45,Retiro,Fallida,
362,181,2021-07-24,8673.04,Retiro,Indeterminado,172
337,181,2023-01-12,8318.82,No identificado,Fallida,23
374,181,2021-02-02,7912.54,Depósito,Fallida,
401,181,2023-09-06,7083.87,Retiro,Indeterminado,237
49,181,2023-10-24,6271.85,Retiro,Fallida,48
21,181,2022-12-20,1729.98,Transferencia,Pendiente,514
35,182,2022-11-11,6731.44,No identificado,Completada,39
185,182,2023-01-10,5189.37,Transferencia,Fallida,60
471,182,2023-01-13,2613.64,Depósito,Fallida,3
123,182,2023-04-27,2179.38,Transferencia,Fallida,104
140,182,2022-08-24,244.65,Retiro,Pendiente,
70,182,2022-10-03,78.63,No identificado,Indeterminado,40
24,183,2022-08-17,4049.27,No identificado,Indeterminado,
248,183,2023-01-11,-1,Retiro,Fallida,147
37,184,2022-10-02,6520.5,Transferencia,Completada,291
24,184,2021-12-15,4817.12,Depósito,Fallida,
22,185,2022-03-09,6099.48,No identificado,Fallida,
71,186,2022-03-17,9622.96,Retiro,Pendiente,148
414,186,2021-08-28,9326.85,No identificado,Indeterminado,
38,186,2021-10-20,8674.66,Depósito,Indeterminado,53
252,186,2023-10-19,8424.65,Transferencia,Indeterminado,187
129,186,2023-03-14,6765.92,Transferencia,Fallida,343
311,186,2023-04-15,5031.37,Depósito,Indeterminado,32
109,186,2022-04-05,3246.66,No identificado,Completada,19
471,187,2021-06-26,6333.46,Depósito,Indeterminado,
270,187,2023-12-05,4074.11,Retiro,Fallida,892
456,188,2023-12-17,7443.09,Depósito,Pendiente,382
79,188,2022-11-30,6129.36,Retiro,Completada,
363,189,2022-09-17,9538.72,Depósito,Fallida,186
256,189,2022-11-11,9438.06,Retiro,Pendiente,55
12,189,2022-03-15,9303.56,No identificado,Fallida,142
275,189,2021-10-24,8338.75,Transferencia,Fallida,
148,189,2023-12-31,7619.91,Transferencia,Invalido,415
72,190,2021-03-29,6851.26,Retiro,Completada,6
202,190,2021-07-16,5922.22,Retiro,Fallida,109
294,190,2021-03-23,4009.95,Transferencia,Completada,
367,191,2021-09-26,9768.93,Retiro,Indeterminado,211
441,191,2023-11-15,7872.7,Transferencia,Completada,780
58,191,2021-02-27,30.26,Depósito,Fallida,
154,192,2021-03-15,9257.57,No identificado,Completada,
370,192,2023-01-31,8781.29,No identificado,Pendiente,322
493,192,2022-03-15,7744.01,Depósito,Fallida,365
43,193,2021-12-01,9967.6,Transferencia,Completada,46
371,193,2021-03-01,6665.63,No identificado,Fallida,
494,193,2021-10-16,4133.49,No identificado,Completada,93
443,193,2021-07-15,660.52,Depósito,Pendiente,136
316,194,2021-07-23,7826.45,No identificado,Fallida,
335,194,2023-12-31,6918.63,Depósito,Indeterminado,891
115,195,2022-03-21,2063.57,Transferencia,Fallida,
115,195,2023-05-14,1463.03,No identificado,Indeterminado,419
29,196,2021-08-31,9074.51,Depósito,Completada,195
193,196,2021-02-17,1074.09,Depósito,Pendiente,
466,197,2022-05-15,6855.59,No identificado,Pendiente,455
61,197,2021-02-14,-1,Depósito,Invalido,
200,197,2023-12-31,-1,No identificado,Pendiente,595
64,198,2022-07-20,7119.95,Retiro,Fallida,19
247,198,2021-08-23,6693.27,Retiro,Pendiente,
340,198,2022-07-01,4158.26,No identificado,Indeterminado,312
5,198,2022-11-10,-1,Retiro,Completada,113
54,199,2023-04-24,7403.14,Retiro,Completada,488
80,199,2021-12-22,1804.8,Depósito,Fallida,
183,200,2023-07-19,9015.2,Depósito,Indeterminado,121
174,200,2023-03-20,6093,No identificado,Indeterminado,199
409,200,2022-01-15,3287.03,No identificado,Fallida,
266,200,2023-08-18,2990.45,Transferencia,Completada,30
405,200,2022-09-02,452.56,Transferencia,Completada,230
